auteur,references
Helen Au-Yang,[9305171]
Jacques H.H. Perk,[9305171]
R.Floreanini,[9305172]
J. N. Tavares,[9305173]
Henric Rhedin,"[9305174, 9407082, 9408087, 9501084, 9506039, 9511143, 9512136, 10233]"
A. M. Chervyakov,[9305175]
V. V. Nesterenko,"[9305175, 9803105, 9806209, 9911248]"
I. Ya. Aref'eva,"[9305176, 9401127, 9406205, 9702077, 9702079, 9710032, 9802163, 9804021, 9912075, 1215, 3176, 4114, 11117]"
G. E. Arutyunov,"[9305176, 9306128, 9311096, 9404068]"
 J. Frenkel,"[9305178, 9712228, 9809177, 9910027, 8246, 9031, 103221, 111146, 112016, 202202, 204192, 208115, 212090]"
J.C. Taylor,[9305178]
 Hiroshi Kunitomo,"[9305179, 9610016]"
 Nobuyoshi Ohta,"[9305179, 9402042, 9403150, 9801135, 9902122, 9904181, 8119, 105079, 205265]"
Makoto Sakaguchi,"[9305179, 9909143, 1214, 7009, 10189, 106114, 112135, 202190, 204002, 205092, 207157, 301083]"
Wolfgang A. Schnizer (RIMS,[9305180]
 Kyoto),"[9305180, 9706077, 9806221, 9809068, 9809068, 9812232, 9912252, 9912252]"
Weizmann Institute),[9305182]
Nguyen Anh Ky,"[9305183, 9411098]"
Simeon Vishik,[9305184]
Tadashi Okai,"[9306001, 9406126]"
Subir Ghoshal,"[9306002, 9310188, 9401008]"
Alexander Zamolodchikov,[9306002]
A.L. Larsen,"[9306003, 9306046, 9307137, 9308152, 9309086, 9309089, 9403193, 9405026, 9408026, 9410132, 9504007, 9510231, 9511069, 9602112, 9603049, 9803158, 9805173, 9811234, 1180, 9151, 103044, 107035]"
Sergey Fomin,"[9306005, 9306053, 9306093, 111053]"
Hoi-Kwong Lo,"[9306006, 9306076, 9308044, 9411133, 9505108]"
A.H.Castro Neto,[9306007]
A.O.Caldeira,[9306007]
Stephen L. Adler,"[9306009, 9508076, 9601047, 9605035, 9606019, 9606023, 9607008, 9609235, 9610153, 9610190, 9703053, 9703132, 9704121, 9706098, 9709106, 9709176, 9069, 105172, 206120]"
 M. Noumi,"[9306010, 9307115]"
S. Odake,"[9306010, 9404041, 206172]"
D.Boulatov,"[9306012, 9309100]"
Mikhail S. Plyushchay,"[9306017, 9309147, 9309148, 9404081, 9405181, 9412137, 9511137, 9601116, 9601141, 9602106, 1067, 1094, 4032, 5122, 6238, 103040, 105135, 112125, 112158, 201228, 212117, 301244, 304257]"
Alexander V. Razumov,"[9306017, 9412137, 210136, 210267]"
 F. Lesage,"[9306018, 9409176, 9508115, 9701022]"
R. D'Auria,"[9306020, 9306125, 9611076, 9903089, 6107, 10124, 102060, 203076]"
T.Inagaki,[9306023]
 T.Muta,[9306023]
 S.D.Odinstov,[9306023]
Avinash Khare,"[9306027, 9312067, 9404015, 9408091, 9505043, 9505133, 9510096, 9512186, 9609025, 9908027, 9911050, 9130, 102016]"
 R. B. MacKenzie,[9306027]
 P. K. Panigrahi,[9306027]
John Cardy,"[9306028, 2122]"
Gaetano Fiore,"[9306030, 9403033, 9407195, 9411006, 9508047, 9605133, 9611144]"
Don N. Page,"[9306032, 9306083, 9401155, 7237, 7238, 12020, 204198, 205001, 302051]"
 E.Nissimov,[9306035]
S.Pacheva,[9306035]
R. B. Zhang,"[9306036, 9407135, 9408177, 9411243, 9504005]"
 Yu. Makeenko,"[9306037, 9906134]"
G.W. Semenoff,"[9306037, 9404159, 9606117, 9706183, 9801098]"
Katsuyuki Sugiyama,"[9306038, 9312159, 9410184, 9504114, 9504115, 9805058, 11091, 108219, 204213, 206070, 206132, 207190, 208029]"
Alain DASNIÈRES de VEIGY,[9306039]
St'ephane OUVRY (Division de Physique,[9306039]
Santiago García,[9306040]
Sergio Ferrara,"[9306048, 9405065, 9508072, 9602102, 9602136, 9603090, 9604097, 9610085, 9701163, 9702103, 9706097, 9708025, 9708164, 9802203, 9803171, 9807150, 1178, 3051, 5151, 7058, 10117, 12186, 110174, 110277, 203068, 211116]"
Massimo Porrati,"[9306048, 9309114, 9803073, 9809142, 9909012, 109017, 201261]"
S.R. Aladim,[9306049]
D.C.Cabra,"[9306051, 9311073, 9410221, 9503110, 9506054, 9704015]"
 E.F.Moreno,"[9306051, 9808078, 9911209, 202040]"
C.M.Naón,"[9306051, 9311073, 9409085, 9810048, 112057]"
Friedemann Brandt,"[9306054, 9310123, 9405064, 9407061, 9509035, 9510195, 9604025, 9605218, 9606172, 9609192, 9611056, 9704046, 9705007, 9707063, 9709021, 9711171, 9712125, 9803196, 9804153, 9807113, 9811180, 9901064, 9910177, 5086, 6152, 9133, 10155, 104110, 105010, 111246, 204035, 212070]"
L. Martina(1),[9306055]
 O. K. Pashaev(2),[9306055]
G. Soliani(1) ((1)Dipartimento di,[9306055]
R.O.Ramos,[9306056]
Paul S. Green,[9306057]
Tristan Hubsch,"[9306057, 9612075, 9809157, 9901038, 9903114, 9903175, 2112]"
Costas John Efthimiou,[9306060]
A.M. Bincer,[9306062]
K. Riesselmann,[9306062]
Shogo Tanimura,"[9306066, 9306098, 9306144, 9408096, 9502159, 6150, 110015, 205053]"
S. Aoki,"[9306067, 9411137]"
Y. Kikukawa,"[9306067, 9402141]"
 L. Thorlacius,[9306069]
J. Uglum,"[9306069, 9401070, 9402136, 9410074]"
Amir Aghamohammadi,[9306071]
M. R. Abolhassani,[9306072]
F. Ardalan,"[9306072, 9410158, 9410231, 9709037, 9803067, 9810072, 9903117, 9906161, 204117]"
M.C. Diamantini,"[9306073, 9502032, 9607090, 203053]"
 P. Sodano,"[9306073, 9503109, 9504105, 9511110, 9511168, 9512048, 9602127, 9609228, 9705102, 4203]"
C. A. Trugenberger,"[9306073, 9712008, 9903208, 202178]"
R. Jackiw,"[9306075, 9309082, 9310025, 9401002, 9403010, 9403045, 9403046, 9405119, 9410151, 9412107, 9501016, 9510145, 9611185, 9703226, 9705028, 9708097, 9709090, 9709212, 9712087, 9803165, 9808036, 9809123, 9902024, 9903044, 9903255, 9911071, 9911072, 9911235, 3130, 4083, 4084, 11274, 11275, 103017, 110057, 111122, 201251, 206014, 211119, 212058, 212146]"
A. Matytsin,"[9306077, 9611170, 9701148]"
Giovanni Modanese (Center for Theoretical Physics,"[9306078, 9307148]"
 M.I.T.,"[9306078, 9307148]"
 Cambridge,"[9306078, 9307148, 9602085, 9602119, 9604045, 9604091, 9612082, 9612084, 9701093, 9710151]"
Jaemo Park,"[9306082, 9503084, 9602030, 9604178, 9607041, 9611119, 9805029, 9810154, 9812062, 9903125, 102046]"
Esa Karjalainen,[9306084]
Sandu Popescu,[9306087]
M. Cavicchi,"[9306091, 9401086]"
 P. Di Vecchia,"[9306091, 9802088, 9805091, 7097, 11077, 107057, 112187, 112195, 202195]"
I. Pesando,"[9306091, 9408018, 9808020, 9903086]"
Adrian Neagu,[9306092]
Adriaan M.J. Schakel,[9306092]
Stefan V. Mashkevich,[9306094]
 Yasuhiko Yamada,"[9306096, 9909122]"
Shin'ich Nojiri,[9306097]
E. Lopez,"[9306099, 9405071, 9411056, 9501036, 9505135, 9506024, 9512017, 9604043, 9604057, 9608104, 9808125, 9812025, 9911124]"
 O.Babelon,[9306102]
 M.Talon,[9306102]
C. Ahn,"[9306103, 9501100, 9505060, 9508080, 9509056]"
 G. Delfino,[9306103]
I.K. Kostov,"[9306110, 9602117]"
Armen Nersessian,"[9306111, 9807143, 101065, 103005, 104189, 105215, 205024, 211070]"
J. Sladkowski,"[9306113, 9411151]"
Jan Sladkowski,"[9306114, 9306115, 9307060, 9311179, 9604137, 9610093]"
F.C.Alcaraz,[9306116]
V. Rittenberg,[9306116]
D. Z. Freedman,[9306117]
N. Rius,[9306117]
Peter Vecsernyés,"[9306118, 9402153]"
Manuel Barriola,[9306120]
 Tanmay Vachaspati,"[9306120, 9604138, 204106]"
Martin Bucher,[9306120]
M. Khorrami,"[9306121, 9412029, 9412090, 9610168, 9610169, 9611234, 9612018, 9706164, 9707080, 9711155, 9910224]"
Sun,[9306124]
C.P,[9306124]
L.H.Yu,[9306124]
M. Villasante,[9306125]
Sasanka Ghosh,"[9306126, 9406124, 9505167]"
Samir K. Paul,"[9306126, 9406124]"
A. Deckmyn,[9306129]
K. Thielemans,[9306129]
Mitsuko Abe,"[9306130, 9408178, 9506164, 9606002, 9705238, 9903234, 9904155, 109155]"
Martin Lavelle,"[9306131, 9306132, 9403147, 9412145, 9805013]"
David McMullan,"[9306131, 9306132, 9308027, 9310185, 9403147, 9412145, 9512118, 9602083, 9805013, 9809025, 9809138, 9810089, 9909044, 2206, 3021, 3087, 4091]"
M. Freeman,[9306134]
Feodor Malikov,"[9306137, 9306138, 9310004, 9405116]"
Kenji Iohara,"[9306138, 9306139]"
 Feodor Malikov,[9306139]
Sven-Olaf Moch,[9306140]
Kresimir Demeterfi,[9306141]
Joao P. Rodrigues,"[9306141, 9903029, 9903207, 8053, 209155]"
Weizmann),[9306143]
M. Kreuzer,"[9306145, 9307145, 9412033, 9505120, 9512204, 9611130, 9701175, 9805190, 9910067]"
D G C McKeon,"[9306148, 9602050]"
a K Rebhan,[9306148]
 N. I. Stoilova,[9306149]
J. Van der Jeugt,"[9306149, 9410145, 10107, 110276, 210164]"
M. Matone,"[9306150, 9309096, 9402081, 9403079, 9407091, 9502089, 9506181, 9602174, 9605090, 9712025, 9712039, 9712109, 9712245]"
A.A.Migdal,[9306152]
 P. Ginsparg,[9306153]
J. C. Eilbeck,[9306155]
 V. Z. Enol'skii,[9306155]
 Vadim B. Kuznetsov,[9306155]
A. V. Tsiganov,[9306155]
 O. Aharony,[9306157]
Dmitrij P. Sorokin,[9306158]
Dmitrij V. Volkov,"[9306158, 9307039, 9410024, 9512103]"
Aleksej V. Chechkin,[9306159]
 Dmitrij P. Sorokin,"[9306159, 9307039, 9403181]"
Vladimir V. Yanovsky,[9306159]
Claus Kiefer,"[9306161, 9701035]"
Andreas Wipf,"[9306161, 9610241, 9801025, 3081, 105141]"
J. Fuchs,"[9306162, 9307107, 9407013, 9410010, 9412009, 9506005, 9612060, 9612093, 9702194, 9702195, 9705039, 9707069, 9708141, 9712257, 9801190, 9805026, 9806121, 9811211, 9902132, 9908025, 1005, 3298, 6181, 7145, 7174, 110133, 110158]"
Z. Bern,"[9307001, 9311026, 9611127, 9802162, 9809160, 9809163, 9811140, 9904026, 9911194, 9912033, 2078, 12230]"
 D.C. Dunbar,"[9307001, 9611127, 9802162, 9809163, 9911194, 2078]"
T. Shimada,[9307001]
C. Aragone ,"[9307003, 9307004, 9310048]"
P.J. Arias ,[9307003]
A. Khoudeir,"[9307003, 9307004, 9309132, 9309149, 9310048, 9411235, 9605080, 9611089, 9902048]"
Ikuo Satake,[9307009]
A. Petkos,[9307010]
D. Li,[9307011]
A.H. Chamseddine,"[9307012, 9311068, 9503093]"
 G. Papadopoulos,"[9307013, 9505032, 9508177, 9511079, 9601150, 9605146, 9702202, 9705040, 9706207, 9905156, 102165, 104105, 107252, 208051, 304126]"
Manuel Manas,[9307016]
Partha Guha,[9307016]
F.Guil,[9307017]
M.Manas,[9307017]
J. Grabowski,[9307018]
 G. Landi,"[9307018, 9403067, 9507147, 9507148, 9510217]"
 G. Marmo,"[9307018, 9308026, 9502154, 9912091, 112092, 303206]"
G. Vilasi,[9307018]
Manuel Mañas,"[9307020, 9307021]"
Francisco Guil,[9307021]
Paul McCloud,[9307022]
Brian P. Dolan,"[9307023, 9307024, 9406061, 9511175, 9702156, 9710161, 9811218, 9904119, 109084, 111020, 204219, 207007, 207078, 304037]"
P.Schaller,"[9307025, 9401110]"
 T.Strobl,[9307025]
Anton Alekseev,"[9307026, 2101, 7096]"
Ivan Todorov,"[9307026, 12099, 12224]"
K.S.Viswanathan,"[9307028, 9411042, 9411043, 9605007, 9811144, 8219, 111097, 211197, 212164]"
R.Parthasarathy,"[9307028, 9411042, 9411043, 9605007, 9811144, 9902027, 9903060, 9903251, 9911226, 8219, 111097, 212164]"
Kenji Mohri,"[9307029, 9402148, 7243, 9072]"
J. Balog,"[9307030, 9406155, 9601091, 9604161, 9606187, 9612039, 9701156, 9703045, 9806068, 9907050, 9910046, 9910112, 9912173, 4180, 7045, 108071, 304260]"
 P. Forgács,"[9307030, 9601091, 9606187, 9704137]"
 Z. Horváth,"[9307030, 9404018, 9503222, 9601091, 9606187]"
L. Palla,"[9307030, 9401065, 9503061, 9503222, 9510114, 9601091, 9606187, 9609198, 9703045, 4180]"
Wolfgang Eholzer,"[9307031, 9407074, 9408160, 9410077, 9502160, 9607165]"
 Ralf Hübel,[9307031]
M. Navarro,"[9307033, 9404121, 9501085, 9503068, 9609083, 9612068, 9701180]"
T. Haugset,"[9307034, 9408011]"
F. Ravndal,[9307034]
W.A. McGhee,[9307035]
Martin Bordemann,"[9307036, 9309025, 9309134, 9512001]"
Jens Hoppe,"[9307036, 9309025, 9311059, 9312020, 9405001, 9407103, 9503069, 9602020, 9602138, 9604033, 9609232, 9612024, 9612036, 9709132, 9709217, 9711033, 9711169, 9806152, 9907058, 9912163, 2107, 206192]"
Igor A. Bandos,"[9307039, 9403181, 9510213, 9510216, 9608093, 9608094, 9610098, 101113, 104209, 112207, 201067, 207139, 208110, 211065, 301255, 303075]"
 Mario Tonin,"[9307039, 3106]"
Li Hua Yu,"[9307044, 9605081]"
Stefano Forte,"[9307047, 9805015]"
L. Faddeev,"[9307048, 9405087, 9606088, 9610193, 9705176, 9812090]"
A.Yu. Volkov,"[9307048, 9405087]"
J.M. Izquierdo,"[9307050, 9508177, 105125, 107132]"
L. Bruecher,[9307055]
 J. Franzkowski,[9307055]
 D. Kreimer,"[9307055, 9607174, 9609128, 9612011, 9904044, 9912093, 1202]"
German V. Shishkin,[9307061]
Victor M. Villalba,"[9307061, 9310010, 9405033, 9409102, 9909074, 9910072]"
H.M. Baboujian,[9307062]
Jan Ambjorn,"[9307063, 9312002, 9408129, 9411179]"
Charlotte F. Kristjansen,[9307063]
S. Higuchi,"[9307065, 9612237]"
 C. Itoi,"[9307065, 9612237]"
 S. Nishigaki,"[9307065, 9601080, 9609174]"
N. Sakai,"[9307065, 9311181, 9611235]"
L. Baulieu,"[9307067, 9704167, 9705127, 9707256, 106042]"
E. Rabinovici,"[9307067, 9401139, 9706122, 9712084, 9805143, 9809033, 9902058, 9910019, 5073, 104169, 112173, 210044, 211212]"
Cardoso de Melo,[9307068]
 M.C. Nemes,[9307068]
Saulo C.S. Silva,"[9307068, 9307069, 9307070, 9309155]"
M.C. Nemes,"[9307069, 9307070, 9309155, 9311106, 9609218]"
 J.C. Brunelli,[9307071]
 A.Zadra,[9307071]
Y.Lavi,[9307073]
Thomas T. Burwick,[9307074]
Ryuji Kemmoku,"[9307075, 9510077]"
Satoru Saito,"[9307075, 9312142, 9510077, 9911212, 9912265]"
P. Montague,"[9307076, 9410029]"
R.W.Brown,[9307077]
 M.E.Convery,[9307077]
 S.A.Hotes,[9307077]
 M.G.Knepley,[9307077]
L.S.Petropoulos,[9307077]
F.Vanderseypen,[9307078]
Hyuk-jae Lee,"[9307081, 9307082, 9506038, 9702029, 9706102, 9802062]"
J. A. de Azcárraga,"[9307083, 9309036, 9406186, 3111, 101053]"
D. Espriu,[9307086]
J. Matias,[9307086]
Mike A. Clayton,[9307089]
 Alan R. Steif,[9307092]
G.V. Grigoriyn,[9307094]
 R.P. Grigoryan,"[9307094, 9608088]"
Alberto Saa,[9307095]
F.A. Smirnov,"[9307097, 9312039, 9501059, 9609068, 9612099, 209246]"
Y. Brihaye,"[9307099, 9408017, 9810061, 9904065, 9909225, 9911148, 9912023, 1100, 2144, 4043, 10111, 102002, 104161, 109034, 202141, 211215]"
 P. Kosinski,"[9307099, 9909225, 108227]"
A.Y. Shiekh,"[9307100, 9407159, 9411199]"
Ken Intriligator,"[9307101, 9307166, 9407106, 101010, 107199, 111007, 304128]"
F. C. Alcaraz,"[9307103, 7151]"
 D. Arnaudon,"[9307103, 9411106, 6243]"
 V. Rittenberg,"[9307103, 9310119]"
M. Scheunert,"[9307103, 9310119]"
 M.Spreafico,[9307105]
 L. Frappat,"[9307106, 9312041, 9404037]"
 P. Sorba,"[9307106, 9404037, 9511013, 9607161, 9812186, 9905105, 2123, 6243, 104079, 106139, 209052, 303187]"
C. Schweigert,"[9307107, 9404059, 9410010, 9412009, 9612060, 9612093, 9707069, 9801191, 6247, 9111, 11109, 105266, 110158]"
 B. Sundborg,[9307108]
G. Theodoridis,[9307108]
Ya.P.Pugay,[9307110]
G. Bhanot,[9307111]
 K. Demeterfi,"[9307111, 9501058]"
I. Klebanov,"[9307111, 9308036, 9310075]"
Hiroshi Yamamoto,[9307112]
 Akihisa Hayashi,[9307112]
 Takaaki Hashimoto,[9307112]
Minoru Horibe,[9307112]
Ken Kiers,[9307113]
T. Nakatsu,"[9307115, 9903259, 105272, 211232]"
 A. Kato,[9307115]
T. Takebe,[9307115]
 Shinsuke Nishigaki,"[9307116, 9409009]"
P V Landshoff,"[9307117, 9309091]"
P van Nieuwenhuizen,[9307117]
D.V. Ahluwalia,[9307118]
 T. Goldman,"[9307118, 9312091]"
M.B. Johnson,[9307118]
J. Barcelos-Neto,"[9307119, 9312166, 9402152, 9408038, 9408044, 9408045, 9410192, 9504039, 9505095, 9505096, 9601076, 9701058, 9701072, 9701080, 9705157, 9712158, 9803172, 9803218, 9805204, 9810065, 9902014, 9905145, 101048, 101196, 107109, 108171, 108186, 205289, 212094]"
 Sasanka Ghosh,[9307119]
John Schwarz,[9307121]
A. H. Bougourzi,[9307124]
D. Johnston,"[9307125, 9406138, 9406139]"
Antoine Van Proeyen,"[9307126, 9407061, 9410162, 9509035, 9510195, 9512139, 9606073, 9611112, 9711161, 9804099, 9812066, 9901060, 9904066, 9904085, 9907124, 9910030, 3261, 6179, 7044, 10194, 10195, 12110, 105158, 110263, 205119, 301005, 301024, 304210]"
Ya. P. Pugay,[9307127]
Toshiki Nakashima,[9307130]
Hisashi Yamamoto,"[9307131, 9308064]"
H. Hiro-Oka,[9307132]
H. Minakata,[9307132]
J. Mourad,"[9307134, 9307135, 9410201, 9701048, 9704165, 9707246, 9709012, 9712022, 9807055, 9903164, 9911019, 4165, 10179, 12071, 110186, 205096]"
Tamio Ikehashi,[9307136]
Kai-Ming Lee,"[9307139, 9505108, 9506190, 9611107]"
D. Nemeschansky,"[9307141, 9403047, 9412187]"
R. Loll,"[9307142, 9309056, 9805108, 9904012, 11276, 105267]"
 J.M. Mourão,[9307142]
J.N. Tavares,"[9307142, 9401015]"
Makoto Umeki,[9307144]
H. Skarke,"[9307145, 9505120, 9512204, 9701175, 9703003, 9805190, 109164]"
Masahiro MAENO,[9307146]
T. Regge,[9307151]
R. Tatar,"[9307155, 3031]"
George Lavrelashvili,"[9307159, 9409185, 9410178, 9410183, 9508024]"
Dieter Maison,"[9307159, 9409185, 9904174]"
Martin Leblanc,"[9307160, 9404088]"
Z.Lalak,[9307162]
 J.Pawelczyk,[9307162]
 S.Pokorski,[9307162]
Reinhard Häring,[9307164]
P.A.Shah,"[9307165, 9402075, 9409145]"
N.S.Manton,"[9307165, 9701027, 9806077, 9809071]"
C.Kobdaj,[9307167]
S.Thomas,[9307167]
L. Tataru,"[9307169, 9504036]"
P.Mayr,"[9307171, 9506112]"
 H.P. Nilles,"[9307171, 108183, 108184, 203055, 205012, 205166, 208146, 303101]"
Stefano Panzeri,[9307173]
Z. Zhu,"[9307175, 9404097]"
D. G. Caldi,"[9307175, 9404097]"
A.V. Ramallo,"[9307176, 9407152, 107142, 201138, 211203]"
Daniel Armand-Ugon,"[9307179, 9309136, 9508036]"
 Jorge Griego,[9307179]
Leonardo Setaro,[9307179]
M.Hotta,"[9307181, 9309138, 9403139]"
M.Yoshimura,"[9307181, 9309138, 9403139, 9410075, 9506176]"
Saurya Das,"[9307182, 9411061, 9411129, 9504060, 9512209, 9603007, 9608162, 9702075, 9707124, 9801194, 9907116, 5108, 6211, 8028, 101169, 303089]"
M. Gaberdiel,"[9307183, 9309105, 9401166]"
Stefan V.Mashkevich,[9307184]
Tohru Eguchi (Dept. of Physics,[9307185]
 Univ. of Tokyo,[9307185]
 Tokyo,[9307185]
 Japan),"[9307185, 9310129, 9410177, 9511027, 9605008, 9612250, 9702128, 9707248, 9801024, 9803063, 9803133, 9805153, 9808186, 9904083, 9906129, 9143, 9152, 11157, 105118, 110159]"
D. K. Hong,[9307186]
S. H. Park,"[9307186, 9412057]"
Deog Ki Hong,"[9307187, 9503131, 9512054]"
M. Crivelli,[9307188]
 Giovanni Felder,"[9307188, 9403178]"
 C. Wieczerkowski,[9307188]
Masaru Onoda,[9307191]
B. Basu-Mallick,"[9307192, 9312195, 9402142, 9409178, 9602107, 9701097, 9904167, 109022, 202035, 207040, 208132, 304063]"
W.A. Bardeen,[9307193]
 C.T. Hill,[9307193]
D.-U. Jungnickel,[9307193]
D. Sorokin,[9307195]
S.Lukyanov,[9307196]
Y. Koyama,[9307197]
Sergey V. Shabanov,"[9308002, 9311140, 9403042]"
M. C. Land,"[9308003, 9407075, 9601021, 9701159]"
 N. Shnerb,[9308003]
L. P. Horwitz,"[9308003, 9312028, 9312029, 9407075, 9601021, 9605147, 9605148]"
Per Berglund,"[9308005, 9509170, 9703195, 9803262, 9812141, 9905097, 205184]"
 Philip Candelas,[9308005]
 Xenia de la Ossa,"[9308005, 9308083, 9412117, 12233]"
 Anamaria Font,"[9308005, 9308083, 9403187, 9904069, 9906101]"
C. Acerbi,"[9308006, 9601113, 9609080, 9701062]"
A. Bassetto (Dipartimento di Fisica,[9308006]
 Università di,[9308006]
Robert Marnelius,"[9308007, 9309002, 9309003, 9309004, 9501003, 9501004, 9507023, 9510201, 9608110, 9704209, 9705228, 9706044, 9805084, 9806114, 9809208, 9809210, 9810125, 9905083, 9905193, 6175, 6177, 9033, 112175]"
H.-T. Sato,"[9308010, 9308049, 9311111, 9312019, 9412149, 9511059]"
M. Koseki,"[9308012, 9510102]"
 M. Sato,"[9308012, 9510102]"
R. Endo,"[9308012, 9308063, 9510102, 9912014]"
 R. Minasian,"[9308013, 9601036, 9612202, 9707013, 9711104, 9803205, 9808060]"
J. Rahmfeld,"[9308013, 9406105, 9512089, 9605085, 9612015, 9801072, 9805151, 9808038, 9809164, 9812114, 9906195]"
Pietro Donatis,"[9308014, 9410001]"
J. Hallin,"[9308015, 9407035]"
K.Sfetsos,[9308018]
Daniel Cangemi (MIT),[9308021]
Gerald Dunne (UConn),"[9308021, 9706012]"
J.-L. Vazquez-Bello,[9308022]
Dalia S. Goldwirth,[9308023]
Yuji Kobayashi,[9308024]
A. Kempf,"[9308025, 9311147, 9402037, 9405067, 9412167, 9706213]"
F. Lizzi,"[9308026, 9603095, 9610035, 9611040, 9704184, 9707202, 9711012, 107115]"
 G. Sparano,"[9308026, 9312178, 9507147, 9507148]"
P. Vitale (Napoli),[9308026]
Izumi Tsutsui,"[9308027, 9310185, 9504116, 9705183, 9801096, 9905189]"
D. Rodney Truax,[9308029]
Nadeem A. Ansari,"[9308032, 9308118]"
V.I. Man'ko,"[9308032, 9311043, 9404016, 9404017, 9404117, 9405037]"
A. Leonidov,"[9308035, 9310028]"
 A. Zelnikov,"[9308035, 12048, 209125, 302207]"
J. Rodrigues,"[9308036, 9312118]"
 Alexander Ganchev,"[9308038, 9402153]"
V. B. Petkova,"[9308038, 9410209]"
Kelly Jay Davis,"[9308039, 9406023]"
Rodolfo Cuerno,[9308040]
Bergfinnur Durhuus,"[9308043, 9309024, 9410110, 9801130, 107121, 204096]"
Thordur Jonsson,"[9308043, 9410110, 9801130, 9801150, 9907031, 204096]"
 Kai-Ming Lee,[9308044]
Prem P. Srivastava,"[9308046, 9312064, 9412193, 9412204, 9412205, 9412239, 9412240]"
Branko Urošević,[9308050]
Yas-Hiro Quano,"[9308053, 9407191, 9408086, 9501138, 9708148, 3276]"
Erick J. Weinberg,"[9308054, 9312038, 9406021, 9409013, 9609100, 9610065, 9705035, 9803164, 9908095, 9908097, 7038, 105211, 108029, 207141, 212328]"
Anthony J. Bracken,"[9308056, 9310183, 9405138]"
 Mark D. Gould,"[9308056, 9310183, 9405030, 9405138, 9408006, 9411241, 109009, 211235, 212077]"
Waclaw Tybor,"[9308058, 9801137]"
Kordian Andrzej Smolinski,[9308059]
E.K.Sklyanin,[9308060]
W.G. Unruh,[9308061]
 Porus Lakdawala,"[9308062, 9407026]"
B. Feigin,[9308065]
S. Parkhomenko,"[9308065, 9906163]"
A. Dettki,"[9308067, 9308130]"
 I. Sachs,"[9308067, 9607110, 9611123, 9807059, 110131]"
A. Wipf,"[9308067, 9310085, 9401083, 9412018, 9506117, 9611105, 9811248, 2197, 107258, 205199, 208228]"
 D.V. Gal'tsov,"[9308068, 111099]"
 M.S.Volkov,[9308068]
B. K. Chung,"[9308071, 9905086, 9911196, 101097, 101098]"
 K. G. Joo,[9308071]
Martin Markl,"[9308072, 9312196, 9406095, 9407138, 9409192, 9411208, 9608067, 9711045]"
N.A. Kivel,[9308073]
 A.N. Vasil'ev,[9308073]
W. Mödritsch,[9308074]
C. Ordóñez,[9308076]
 J.París,[9308076]
 J.M. Pons,"[9308076, 9509012]"
R. Toldrà,[9308076]
C. Ordóñez y J.M Pons,[9308078]
Philip Candelas,"[9308083, 9403187, 9412117, 9603170, 9606133, 9703148, 9704097, 9706226, 9707049, 9228, 12233]"
 Sheldon Katz and,[9308083]
S. Massar,"[9308085, 9603057]"
A.Saa,[9308087]
M. Hossein Partovi,[9308089]
K. Gaillard,[9308090]
Konstantinos Anagnostopoulos,[9308091]
 Mark Bowick,[9308091]
 Marco,"[9308091, 301180]"
Zhong-Qi Ma,"[9308092, 9404111, 9711141]"
An-Ying Dai,[9308092]
F.J.Wegner,[9308094]
Takanori Fujiwara,"[9308095, 9605138]"
 Yuji Igarashi,[9308095]
Jisuke Kubo,"[9308095, 9401106, 9409003, 9409032, 9503221, 9506092, 112032]"
Metin Arik,"[9308096, 208089]"
 Gokhan Unel,[9308096]
Muhittin Mungan,[9308096]
Z.Hasiewicz,"[9308098, 9504061]"
P.Siemion,[9308098]
Herbert W. Hamber (UC Irvine),"[9308099, 9310152]"
Ruth M. Williams (DAMTP,[9308099]
 Cambridge),"[9308099, 9507173, 9509171, 9602061, 9602077, 9603115, 9608190, 9705236, 9706028, 9706035, 9706178, 9707206, 9709224, 9711204, 9712083, 9712227, 9805167, 9806013, 9902049, 9906177, 9907017, 9908047, 9910176, 203079, 207047, 211095, 211264]"
Carlos Castro (I.A.E.C 1407 Alegria,[9308101]
 Austin,"[9308101, 9308102, 9309059]"
Yang-Mills Instantons Carlos Castro (I.A.E.C 1407 Alegria,[9308102]
 Salman Habib,[9308103]
Alex Kovner,"[9308103, 9308115, 9408081, 9410067, 9507137, 9808031, 9912136, 205026]"
Kazuo Ghoroku,"[9308104, 9312002, 9403008, 9408144, 9503116, 9509055, 9601110, 9608020, 9608032, 9612201, 9708026, 9907143, 4146, 103071, 106145, 206128, 211112, 212102, 303068, 304051]"
A. Casher,"[9308107, 9412186, 9506051, 9908074]"
O. Pelc,[9308107]
 A. Zichichi,"[9308108, 9408142]"
E.G.Kalnins,"[9308109, 9412190]"
 V.B.Kuznetsov,"[9308109, 9308143, 9412190]"
Willard Miller,"[9308109, 9412190]"
D. R. Grigore,"[9308110, 9312048, 9401037, 9404028, 9410044, 9411141]"
John M Charap,[9308111]
M. Gasperini R. Ricci G. Veneziano,[9308112]
 K. Thielemans,"[9308114, 9410005]"
 Manfred Salmhofer,[9308115]
Paul Mansfield,"[9308116, 9308117, 9504062, 9508148, 9510188, 9511041, 9605097, 9608097, 9611109, 9702072, 9807163, 9905140, 9906054, 9912048, 5224, 105224, 207219, 208135]"
 L. Di Fiore,"[9308118, 9407171]"
 M. A. Man'ko,[9308118]
